school_code,name,type,phone,address,postcode,state,city,ppd,location,integration,
AEA0033,SEKOLAH MENENGAH KEBANGSAAN HAMID KHAN,SMK,54011181,JALAN DAMAI,35000,PERAK,TAPAH,PPD BATANG PYNG,Bandar,N,
AEA0035,SEKOLAH MENENGAH KEBANGSAAN TROLAK SELATAN,SMK,54322303,FELDA TROLAK SELATAN,35600,PERAK,SUNGKAI,PPD BATANG PYNG,Luar Bandar,N,
AEA0037,SEKOLAH MENENGAH KEBANGSAAN (FELDA) BESOUT,SMK,54311721,FELDA GUNUNG BESOUT 1,35600,PERAK,SUNGKAI,PPD BATANG PYNG,Luar Bandar,Y,
AEA0038,SEKOLAH MENENGAH KEBANGSAAN SUNGAI KERUIT,SMK,54388308,SIMPANG SUNGAI KLAH,35600,PERAK,SUNGKAI,PPD BATANG PYNG,Luar Bandar,Y,
AEA0039,SEKOLAH MENENGAH KEBANGSAAN AIR KUNING,SMK,54789879,JALAN DEGONG,31920,PERAK,MAMBANG DI AWAN,PPD BATANG PYNG,Bandar,N,
AEA0040,SEKOLAH MENENGAH KEBANGSAAN CHENDERIANG,SMK,54199328,"KM 2, JALAN TEMOH TAPAH",35350,PERAK,TEMOH,PPD BATANG PYNG,Bandar,N,
AEA0041,KOLEJ TINGKATAN ENAM TAPAH,KT6,54013677,JALAN BIDOR LAMA,35000,PERAK,TAPAH,PPD BATANG PYNG,Bandar,Y,
AEA0042,SEKOLAH MENENGAH KEBANGSAAN BIDOR,SMK,54347127,JALAN TELUK INTAN,35500,PERAK,BIDOR,PPD BATANG PYNG,Bandar,Y,
AEA0043,SEKOLAH MENENGAH SAINS TAPAH,SBP,54018745,"BATU 2, JALAN PAHANG",35000,PERAK,TAPAH,PPD BATANG PYNG,Bandar,N,
AEA1109,SEKOLAH MENENGAH KEBANGSAAN SERI MANJUNG,SMK,56881372,SERI MANJUNG,32040,PERAK,SERI MANJUNG,PPD MANJUNG,Bandar,N,
AEA1110,SEKOLAH MENENGAH KEBANGSAAN AHMAD BOESTAMAM,SMK,56911552,JLN HJ MOHD ALI,32000,PERAK,SITIAWAN,PPD MANJUNG,Bandar,N,
AEA1111,SEKOLAH MENENGAH KEBANGSAAN PANGKALAN TLDM,SMK,56835848,PANGKALAN TLDM LUMUT,32100,PERAK,LUMUT,PPD MANJUNG,Bandar,Y,
AEA1112,SEKOLAH MENENGAH KEBANGSAAN BATU SEPULUH,SMK,56798310,LEKIR,32020,PERAK,SITIAWAN,PPD MANJUNG,Luar Bandar,Y,
AEA1113,SEKOLAH MENENGAH KEBANGSAAN PANTAI REMIS,SMK,56775484,JALAN TAMAN BINTANG,34900,PERAK,PANTAI REMIS,PPD MANJUNG,Bandar,Y,
AEA1114,SEKOLAH MENENGAH KEBANGSAAN SERI SAMUDERA,SMK,56882140,MANJUNG RAYA,32040,PERAK,SERI MANJUNG,PPD MANJUNG,Bandar,Y,
AEA1115,SEKOLAH MENENGAH KEBANGSAAN CHANGKAT BERUAS,SMK,56749655,JALAN TAIPING,32700,PERAK,BERUAS,PPD MANJUNG,Luar Bandar,Y,
AEA1116,SEKOLAH MENENGAH KEBANGSAAN KG. DATO' SERI KAMARUDDIN,SMK,56881332,SERI MANJUNG,32040,PERAK,SERI MANJUNG,PPD MANJUNG,Bandar,Y,
AEA2041,SEKOLAH MENENGAH KEBANGSAAN RAJA CHULAN,SMK,55457082,JALAN DAIRY,31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2043,SEKOLAH MENENGAH KEBANGSAAN JALAN PASIR PUTEH,SMK,52530520,JALAN PASIR PUTEH,31650,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2044,SEKOLAH MENENGAH KEBANGSAAN GUNUNG RAPAT,SMK,53122855,JLN TEOH KIM SWEE,31350,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2045,SEKOLAH MENENGAH KEBANGSAAN RAJA PERMAISURI BAINUN,SMK,55267522,"JALAN INTAN, KAMPUNG DATO' AHMAD SAID",30020,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2046,SEKOLAH MENENGAH KEBANGSAAN DATO' HJ. MOHD TAIB,SMK,52011808,JALAN SEKOLAH,31200,PERAK,CHEMOR,PPD KINTA UTARA,Bandar,N,
AEA2047,SEKOLAH MENENGAH KEBANGSAAN SERI KELEDANG,SMK,52813240,PERSIARAN KELEDANG TIMUR 2,31450,PERAK,MENGLEMBU,PPD KINTA UTARA,Bandar,N,
AEA2048,SEKOLAH MENENGAH KEBANGSAAN KG. DATO' AHMAD SAID,SMK,55270020,LEBUH RAJAWALI,30020,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2049,SEKOLAH MENENGAH KEBANGSAAN KG PASIR PUTEH,SMK,53225150,JALAN PENGKALAN BARAT 18,31650,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2050,SEKOLAH MENENGAH KEBANGSAAN SERI AMPANG,SMK,53130929,JALAN GUNUNG RAPAT,31350,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2051,SEKOLAH MENENGAH KEBANGSAAN JALAN TASEK,SMK,55497606,"JALAN SULTAN AZLAN SHAH (U), TAMAN TASEK INDRA",31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2052,SEKOLAH MENENGAH KEBANGSAAN SIMPANG PULAI,SMK,53575627,TAMAN BANDAR PULAI JAYA,31300,PERAK,KG. KEPAYANG,PPD KINTA UTARA,Bandar,N,
AEA2053,SEKOLAH MENENGAH KEBANGSAAN LAHAT,SMK,53228995,"PERSIARAN LAHAT BARU 6,  BANDAR LAHAT BARU",31500,PERAK,LAHAT,PPD KINTA UTARA,Bandar,Y,
AEA2054,SEKOLAH MENENGAH KEBANGSAAN TASEK DAMAI,SMK,52917200,JALAN TAWAS BARU UTARA,30010,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2055,SEKOLAH MENENGAH KEBANGSAAN TANJONG RAMBUTAN,SMK,55336770,JALAN CHEMOR,31250,PERAK,TANJONG RAMBUTAN,PPD KINTA UTARA,Bandar,N,
AEA2056,SEKOLAH MENENGAH KEBANGSAAN JELAPANG JAYA,SMK,55282149,JELAPANG,30020,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2057,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN,SMK,53288201,TAMAN PINJI MEWAH,31500,PERAK,LAHAT,PPD KINTA UTARA,Bandar,Y,
AEA2058,SEKOLAH MENENGAH KEBANGSAAN BERCHAM,SMK,55461962,HALA TASEK TIMUR 32,31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2059,SEKOLAH MENENGAH KEBANGSAAN PUSING,SMK,52883955,LEBUHRAYA EKSPRES IPOH LUMUT,31000,PERAK,BATU GAJAH,PPD KINTA UTARA,Bandar,Y,
AEA2060,SEKOLAH MENENGAH KEBANGSAAN BUNTONG,SMK,52823242,"PERSIARAN RISHAH (S) 1/1B, DESA RISHAH",30100,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
